id,text_comments,text_only,comments_only,label,count
731166399389962242,"🔥ca kkk grand wizard 🔥 endorses #neverhillary #trump2016 URL
[SEP]","🔥ca kkk grand wizard 🔥 endorses #neverhillary #trump2016 URL
[SEP]",,unverified,0
714598641827246081,"an open letter to trump voters from his top strategist-turned-defector URL via
[SEP]","an open letter to trump voters from his top strategist-turned-defector URL via
[SEP]",,unverified,0
691809004356501505,"""america is a nation of second chances"" —@potus on new reforms to solitary confinement: URL URL
[SEP]","""america is a nation of second chances"" —@potus on new reforms to solitary confinement: URL URL
[SEP]",,non-rumor,0
693204708933160960,"brandon marshall visits and offers advice, support to brother of fallen hero zaevion dobson: URL URL
[SEP]","brandon marshall visits and offers advice, support to brother of fallen hero zaevion dobson: URL URL
[SEP]",,non-rumor,0
551099691702956032,"rip elly may clampett: so sad to learn #beverlyhillbillies star donna douglas has passed away. URL
[SEP]","rip elly may clampett: so sad to learn #beverlyhillbillies star donna douglas has passed away. URL
[SEP]",,true,0
767223774072676354,"former 3 doors down guitarist matt roberts has died at age 38, according to his father. URL URL
[SEP]","former 3 doors down guitarist matt roberts has died at age 38, according to his father. URL URL
[SEP]",,non-rumor,0
715515982584881152,"craigslist ad: ‘get paid $15 an hour to protest at the trump rally’ - URL URL
[SEP]","craigslist ad: ‘get paid $15 an hour to protest at the trump rally’ - URL URL
[SEP]",,unverified,0
514106273852174337,"just in: missing afghan soldiers found trying to enter canada near niagara falls URL URL
[SEP]","just in: missing afghan soldiers found trying to enter canada near niagara falls URL URL
[SEP]",,true,0
500319801344929795,"the day #ferguson cops told a dirty, bloody lie (via URL URL
[SEP]","the day #ferguson cops told a dirty, bloody lie (via URL URL
[SEP]",,unverified,0
495366618818830336,"#riphulkhogan my heart is ripping like your shirt. wwe'll miss you.
[SEP]","#riphulkhogan my heart is ripping like your shirt. wwe'll miss you.
[SEP]",,false,0
532206910796468224,"a chick-fil-a manager allegedly banned this hilarious list of slang words URL URL
[SEP]","a chick-fil-a manager allegedly banned this hilarious list of slang words URL URL
[SEP]",,false,0
560187970389819392,"islamic tribunal using sharia law in texas has been confirmed URL #a4a URL
[SEP]","islamic tribunal using sharia law in texas has been confirmed URL #a4a URL
[SEP]",,false,0
531568534066057217,"alpha male rt photo of vladimir putin's motorcade. posted without comment. URL
[SEP]","alpha male rt photo of vladimir putin's motorcade. posted without comment. URL
[SEP]",,false,0
489829414704648192,"เผยกบฏยูเครนอาจเข้าใจผิดคิดว่า #mh17 เป็นเครื่องบินทหารยูเครนรุกล้ำ / 14 ก.ค.ก็เพิ่งยิงตกไปลำ URL URL
[SEP]","เผยกบฏยูเครนอาจเข้าใจผิดคิดว่า #mh17 เป็นเครื่องบินทหารยูเครนรุกล้ำ / 14 ก.ค.ก็เพิ่งยิงตกไปลำ URL URL
[SEP]",,false,0
524925730053181440,"shooter still on loose after uniformed soldier shot at #ottawa's war memorial, across road from parliament. mp's being taken out of offices.
[SEP]","shooter still on loose after uniformed soldier shot at #ottawa's war memorial, across road from parliament. mp's being taken out of offices.
[SEP]",,unverified,0
766989078294306816,"report: more american fifth-graders taking gap year to unwind before middle school URL URL
[SEP]","report: more american fifth-graders taking gap year to unwind before middle school URL URL
[SEP]",,non-rumor,0
499530130487017472,"a woman in #ferguson was shot in head last night and released this selfie. conflicting reports of how it happened: URL
[SEP]","a woman in #ferguson was shot in head last night and released this selfie. conflicting reports of how it happened: URL
[SEP]",,unverified,0
520284654755381249,"report: amazon plans to open its first physical store, in new york URL
[SEP]","report: amazon plans to open its first physical store, in new york URL
[SEP]",,false,0
767515401831997440,"‘keep it,’ says simone biles throwing gold medal to adoring men's gymnastics team URL #rio2016 URL
[SEP]","‘keep it,’ says simone biles throwing gold medal to adoring men's gymnastics team URL #rio2016 URL
[SEP]",,non-rumor,0
565999191982616577,"let's let our friends know that a state senator in south carolina stated ""women are a lesser cut of meat"" #chewonthis URL
[SEP]","let's let our friends know that a state senator in south carolina stated ""women are a lesser cut of meat"" #chewonthis URL
[SEP]",,true,0
554343513887105024,"a traditional beer that authorities believe was poisoned with crocodile bile has killed 56 people in mozambique: URL
[SEP]","a traditional beer that authorities believe was poisoned with crocodile bile has killed 56 people in mozambique: URL
[SEP]",,false,0
767715489485205505,"nothing to see here. just nuggets forward wilson chandler catching a 350-pound fish: URL URL
[SEP]","nothing to see here. just nuggets forward wilson chandler catching a 350-pound fish: URL URL
[SEP]",,non-rumor,0
553467311261503488,"reports of shooting at dammartin en goele on route n2 north east of paris - french media says car chase under way
[SEP]","reports of shooting at dammartin en goele on route n2 north east of paris - french media says car chase under way
[SEP]",,unverified,0
