id,text_comments,text_only,comments_only,label,count
656955120626880512,"correct predictions in back to the future ii URL
[SEP]","correct predictions in back to the future ii URL
[SEP]",,false,0
615689290706595840,".@whitehouse in rainbow colors for #scotusmarriage? here's what i think about that decision: URL
[SEP]",".@whitehouse in rainbow colors for #scotusmarriage? here's what i think about that decision: URL
[SEP]",,true,0
613404935003217920,"cops bought the alleged church shooter burger king hours after killings URL
[SEP]","cops bought the alleged church shooter burger king hours after killings URL
[SEP]",,false,0
731166399389962242,"🔥ca kkk grand wizard 🔥 endorses #neverhillary #trump2016 URL
[SEP]","🔥ca kkk grand wizard 🔥 endorses #neverhillary #trump2016 URL
[SEP]",,unverified,0
714598641827246081,"an open letter to trump voters from his top strategist-turned-defector URL via
[SEP]","an open letter to trump voters from his top strategist-turned-defector URL via
[SEP]",,unverified,0
614467824313106432,"god put a rainbow over the white house 🌈 URL
[SEP]","god put a rainbow over the white house 🌈 URL
[SEP]",,true,0
715515982584881152,"craigslist ad: ‘get paid $15 an hour to protest at the trump rally’ - URL URL
[SEP]","craigslist ad: ‘get paid $15 an hour to protest at the trump rally’ - URL URL
[SEP]",,unverified,0
693315824132685824,"#quasimodo: dog with short spine has big heart URL URL
[SEP]","#quasimodo: dog with short spine has big heart URL URL
[SEP]",,non-rumor,0
693843042546106369,"need to #getcovered? most people can find a health insurance plan for as little as $75/mo: URL URL
[SEP]","need to #getcovered? most people can find a health insurance plan for as little as $75/mo: URL URL
[SEP]",,non-rumor,0
622891631293935616,"#wakeupamerica🇺🇸 who needs a #gun registry when #obama has all your personal information URL URL
[SEP]","#wakeupamerica🇺🇸 who needs a #gun registry when #obama has all your personal information URL URL
[SEP]",,false,0
692630756548591616,"japan's economy minister akira amari resigns over corruption allegations URL
[SEP]","japan's economy minister akira amari resigns over corruption allegations URL
[SEP]",,non-rumor,0
693265096278163456,"german shepherd with a rare spinal condition looking for a forever home. URL URL
[SEP]","german shepherd with a rare spinal condition looking for a forever home. URL URL
[SEP]",,non-rumor,0
553589051044151296,"several hostages freed at jewish supermarket in paris. photo thomas samson #afp URL
[SEP]","several hostages freed at jewish supermarket in paris. photo thomas samson #afp URL
[SEP]",,true,0
553590835850514433,"hostage-taker in supermarket siege killed, reports say. #parisattacks URL URL
[SEP]","hostage-taker in supermarket siege killed, reports say. #parisattacks URL URL
[SEP]",,true,0
622858454949040128,"in heaven chick-fil-a is open on sundays.
[SEP]","in heaven chick-fil-a is open on sundays.
[SEP]",,false,0
656870311057575936,"the 5 most accurate predictions from the decade-jumping adventures in #backtothefuture: URL URL
[SEP]","the 5 most accurate predictions from the decade-jumping adventures in #backtothefuture: URL URL
[SEP]",,false,0
616311563071434753,"apologies if you've already seen a crow riding a bald eagle today. image: phoo chan story: URL URL
[SEP]","apologies if you've already seen a crow riding a bald eagle today. image: phoo chan story: URL URL
[SEP]",,true,0
641666167992647681,"oh, you invented the pencil? #appleevent URL
[SEP]","oh, you invented the pencil? #appleevent URL
[SEP]",,non-rumor,0
525060425184858112,"the canadian soldier killed in today's ottawa shooting is cpl. nathan cirillo, a family source told cnn. live blog: URL
[SEP]","the canadian soldier killed in today's ottawa shooting is cpl. nathan cirillo, a family source told cnn. live blog: URL
[SEP]",,true,0
672513234419638273,"""thoughts and prayers are not enough."" pres. obama speaks on mass shootings over the years: URL URL
[SEP]","""thoughts and prayers are not enough."" pres. obama speaks on mass shootings over the years: URL URL
[SEP]",,false,0
544382892378714113,"five hostages escape sydney cafe siege — live updates from URL URL
[SEP]","five hostages escape sydney cafe siege — live updates from URL URL
[SEP]",,true,0
